frame,car_id,car_bbox,license_plate_bbox,license_plate_text,license_plate_conf,license_plate_text_conf
0,219,"354,721,699,1040","446,932,589,988",NAIJHRU,0.72,0.3687321963663739
0,223,"1104,608,1397,906","1212,825,1295,848",LITK,0.63,0.40819787979125977
1,219,"354,724,699,1044","446,937,585,988",NAIJNRU,0.73,0.45088144486016823
1,223,"1104,609,1398,907","1209,821,1299,848",DLETI},0.48,0.08268439479179437
3,219,"347,733,696,1056","446,935,590,1005",NAIJNRU,0.61,0.038495497873616766
4,219,"346,736,696,1060","446,938,587,1008",NMIJRU,0.66,0.17713029350342366
4,223,"1103,617,1402,918","1209,820,1302,861",DIFZIU,0.29,0.08231268791961915
5,219,"342,740,694,1064","445,954,587,1016",NAIZNRU,0.33,0.17267540440735374
6,219,"340,743,693,1067","437,955,586,1014",NAIDRV,0.73,0.23137281836555915
7,219,"339,746,692,1071","436,958,584,1014",NWIJNRU,0.68,0.06314463534688602
8,223,"1104,625,1407,933","1217,848,1305,874",ITHTW,0.63,0.04096524532710625
8,219,"337,748,691,1073","439,964,575,1015",NAIZNRU,0.26,0.2615916819782782
9,219,"335,752,689,1075","438,964,581,1023",NMI:NRU,0.74,0.1479242936745726
9,223,"1105,626,1409,937","1218,847,1306,878","LJ""ZW",0.4,0.031226825742373922
10,223,"1106,630,1411,940","1219,846,1307,882",IIZ4,0.55,0.05794932693243027
10,219,"335,756,690,1079","441,970,571,1021",NAI2NRU,0.35,0.15584825689882445
